1:软件开发工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中复电讯设备有限责任公司        7000-8000
2:软件工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        云智环能科技(北京)有限公司        10001-15000
3:软件销售工程师&nbsp;<a href="http://e.zhaopin.com/products/1/detail.do" target="_blank" title="点击“顶”字，了解更多"><img src="/assets/images/top.png" border="0"   align="absmiddle">&nbsp;<img src="/assets/images/jp.gif" border="0" align="absmiddle">        北京中油奥特科技有限公司        7000-11000
4:中国采招网        4001-6000
5:软件开发工程师        华睿泰科技(北京)有限公司        10000-20000
6:软件)        北京诺明在线<b>软件</b>有限公司        10001-15000
7:软件开发工程师        北京起鹏科技发展有限公司        15001-20000
8:软件工程师        北京华开领航科技有限责任公司        15000-20000
9:软件C++工程师        北京青果树<b>软件</b>有限公司        15001-20000
10:软件测试培训生、测试工程师助理        北京飞马容心科技有限公司        6001-8000
11:软件工程师        雷势万廷信息技术(北京)有限公司济南分公司        10001-15000
12:软件工程师        北京华开领航科技有限责任公司        10000-15000
13:软件开发工程师Java        北京万里红科技股份有限公司        6000-12000
14:软件开发工程师        北京北变微电网技术有限公司        7000-9000
15:软件初级工程师管住宿        运动科技(北京)有限公司        4001-6000
16:软件测试工程师（自动化运维和测试方向）        北京万里红科技股份有限公司        6000-12000
17:软件测试工程师        北京万里红科技股份有限公司        6000-12000
18:软件内容编辑        戴耐德语言<b>软件</b>系统开发（北京）有限公司        6000-7000
19:软件工程师        北京慧清科技有限公司        12000-20000
20:软件配置管理员        北京北航天宇长鹰无人机科技有限公司        10000-20000
21:软件工程师        北京优尔博特创新科技有限公司        15001-20000
22:软件开发工程师        北京英迪致远科技有限责任公司        5000-7000
23:软件开发工程师        北京天元特通科技有限公司        10001-15000
24:软件开发工程师        北京得意音通技术有限责任公司        10001-15000
25:软件销售        厦门安妮股份有限公司        8001-10000
26:软件工程师        北京慧清科技有限公司        12000-20000
27:软件工程师        北京华仪未来科技发展有限公司        10001-15000
28:软件开发项目经理        北京店帮科技有限公司        10001-15000
29:软件工程师        北京起鹏科技发展有限公司        10001-15000
